dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01001790,5976,6348,6004,5765,5746,1296,5824,5975
Data Zone S01001791,5686,5535,5797,6334,5988,991,5704,6487
Data Zone S01001792,5579,4882,4552,4806,5803,4933,5457,4748
Data Zone S01001793,5210,5077,4404,3741,5695,4336,4274,3575
Data Zone S01001794,5201,4276,4883,3573,5554,4695,4328,5362
Data Zone S01001795,5900,6278,6192,6421,5959,1052,4056,4456
Data Zone S01001796,6232,6488,6327,5751,6258,1617,6491,5254
Data Zone S01001797,3715,3354,3489,3670,2773,3787,2192,4758
Data Zone S01001798,6287,6493,6314,6301,6478,1626,6447,4971
Data Zone S01001799,371,330,485,1019,157,3099,785,975
Data Zone S01001800,5121,5180,5278,5179,5329,892,5237,5754
Data Zone S01001801,5975,6371,6377,6313,6387,814,5663,5325
Data Zone S01001802,4348,3751,4234,4604,3984,2182,4491,4610
Data Zone S01001803,5442,5325,5620,5915,4622,1560,4941,4747
Data Zone S01001804,4718,4232,3959,4052,4746,4533,4214,3245
Data Zone S01001805,4640,4789,4194,3242,4092,4224,3134,3168
Data Zone S01001806,5596,4944,5207,5688,5739,3649,5190,2447
Data Zone S01001807,5891,5750,5229,4449,5820,4612,6042,3483
Data Zone S01001808,2652,2954,2851,3669,1215,4526,2293,853
Data Zone S01001809,565,557,668,541,390,5536,709,1269
Data Zone S01001810,5263,4716,4691,5847,5086,2909,4183,3933
Data Zone S01001811,6258,6331,6248,6255,6486,1493,6478,6148
Data Zone S01001812,6431,6469,6398,6447,6485,2070,6505,6372
Data Zone S01001813,6294,6180,5684,6156,6234,2701,6108,6177
Data Zone S01001814,6091,6368,6085,5477,4995,2561,5060,4624
Data Zone S01001815,5221,5623,4597,4950,6092,1491,6021,3730
Data Zone S01001816,6198,6223,5961,6292,6501,1716,6284,5239
Data Zone S01001817,1365,1657,1754,1768,532,3339,1094,850
Data Zone S01001818,6423,6121,6425,6266,6414,2666,5538,6211
Data Zone S01001819,6121,6386,6322,6445,6475,1039,6327,5427
Data Zone S01001820,789,614,1147,1060,520,5315,651,671
Data Zone S01001821,4261,4547,5065,4347,1492,3032,6059,3681
Data Zone S01001822,4877,4355,5220,4860,3772,2816,3577,3096
Data Zone S01001823,859,1164,1334,484,403,5106,569,593
Data Zone S01001824,3701,2687,3215,3594,3695,5810,2883,4818
Data Zone S01001825,5556,5663,5637,6133,5664,1142,5379,4136
Data Zone S01001826,941,902,747,1298,1033,4676,871,1400
Data Zone S01001827,1649,1376,2062,2127,816,5755,875,1821
Data Zone S01001828,6099,6367,6415,6402,6213,977,5790,6232
Data Zone S01001829,5033,4885,4936,4736,6139,1463,3503,3849
Data Zone S01001830,6282,6035,6027,6119,6120,2840,5673,4670
Data Zone S01001831,3482,2653,3202,3552,4187,4532,1297,3528
Data Zone S01001832,1576,1716,1958,2004,960,3653,902,540
Data Zone S01001833,6328,6219,6302,6422,6471,1891,5955,5945
Data Zone S01001834,2383,2037,2073,2266,2464,5485,1294,4210
Data Zone S01001835,6259,6005,6173,6458,5964,2412,4985,4928
Data Zone S01001836,5655,5971,5813,5635,6143,1199,5166,3526
Data Zone S01001837,6292,5742,6022,6330,6220,3465,6065,4034
Data Zone S01001838,2390,2136,2637,3908,1319,3147,1245,2980
Data Zone S01001839,1106,1019,1433,601,1606,5125,833,401
Data Zone S01001840,6137,6209,6330,6107,6295,1771,6439,3329
Data Zone S01001841,4420,3254,4060,5023,4177,3829,2428,5658
Data Zone S01001842,6082,5813,5948,5993,4998,3225,5870,4120
Data Zone S01001843,775,698,432,1493,1270,5904,860,1141
Data Zone S01001844,6227,6369,6416,6347,5699,1629,5754,5452
Data Zone S01001845,6260,6451,6361,6222,6356,1438,5416,6225
Data Zone S01001846,6407,5999,6339,5937,5980,3551,5504,5878
Data Zone S01001847,1302,1413,1425,1082,822,5798,1278,1240
Data Zone S01001848,1439,1365,1538,1041,1437,4806,1231,1799
Data Zone S01001849,6202,5664,6102,6382,6487,2083,6301,5439
Data Zone S01001850,4633,3283,4917,4464,3741,6126,2031,3375
Data Zone S01001851,5569,5072,5570,5052,5080,4739,5563,1591
Data Zone S01001852,6157,6333,5978,6357,5570,2436,5556,3316
Data Zone S01001853,6487,6484,6426,5932,6464,4069,6198,5117
Data Zone S01001854,4684,4248,5792,3112,3001,3239,3737,4729
Data Zone S01001855,6169,5907,6221,5797,5093,3315,5918,3856
Data Zone S01001856,1324,882,1158,2091,1770,4995,1416,1833
Data Zone S01001857,2684,2722,3064,1465,2758,4938,2532,1271
Data Zone S01001858,5545,4331,5532,4011,5945,5325,6107,3525
Data Zone S01001859,1467,1687,1670,1696,850,4091,1167,768
Data Zone S01001860,6494,6474,6402,6423,6458,3824,6165,6150
Data Zone S01001861,1320,1356,1500,2529,1731,2469,628,63
Data Zone S01001862,6131,6156,6151,6319,5445,2826,5362,2556
Data Zone S01001863,5736,6111,5743,5333,4542,2705,5015,2896
Data Zone S01001864,698,556,987,519,930,3542,1733,800
Data Zone S01001865,307,427,139,720,662,4684,1537,283
Data Zone S01001866,6128,6269,6218,6225,6432,1346,5454,5134
Data Zone S01001867,1744,1922,1952,1871,861,3502,1385,2933
Data Zone S01001868,4091,4212,3773,2554,5294,2841,5113,2365
Data Zone S01001869,5595,4877,5314,5478,4660,5202,4582,2609
Data Zone S01001870,433,467,410,748,478,4076,663,534
Data Zone S01001871,4506,4241,4211,3859,4309,4585,821,2974
Data Zone S01001872,2495,2517,2350,2017,2118,5107,1968,2659
Data Zone S01001873,6464,6323,6367,5901,6455,3754,6252,5071
Data Zone S01001874,415,221,804,740,297,4468,1613,432
Data Zone S01001875,6371,6357,6229,6369,6480,2123,6211,5647
Data Zone S01001876,1613,1552,1621,1555,1447,4274,800,2207
Data Zone S01001877,583,454,413,798,936,4707,2320,2102
Data Zone S01001878,6474,6461,6400,6373,6481,3513,6249,4420
Data Zone S01001879,44,92,16,389,52,3483,778,236
Data Zone S01001880,206,191,127,744,595,6361,1075,152
Data Zone S01001881,5411,5762,4872,5532,5836,1377,5977,4352
Data Zone S01001882,3736,3973,4011,3222,3224,3461,2926,873
Data Zone S01001883,6138,6080,6341,6472,6343,1236,6121,5900
Data Zone S01001884,1447,1482,1664,1074,1160,3857,1343,1992
Data Zone S01001885,6373,6324,6139,6008,6333,2554,6461,5703
Data Zone S01001886,244,266,57,634,753,5085,3102,1894
Data Zone S01001887,3154,3133,3889,4157,2014,1149,1414,4669
Data Zone S01001888,6442,6457,6321,5306,6392,3788,6320,4791
Data Zone S01001889,5055,4298,4727,4622,4117,5299,3962,3384
Data Zone S01001890,2486,2355,2642,2033,2104,5343,2262,1652
Data Zone S01001891,2380,2499,3000,1761,1200,5523,723,3034
Data Zone S01001892,409,336,245,1329,446,5878,1226,991
Data Zone S01001893,748,834,654,1424,555,4670,1463,397
Data Zone S01001894,128,65,151,444,233,4738,1678,457
Data Zone S01001895,2101,1543,2626,3026,1306,4040,1517,2256
Data Zone S01001896,6315,5837,6121,6440,6488,2769,5129,4964
Data Zone S01001897,243,222,317,520,331,4639,1222,136
Data Zone S01001898,1386,1259,1189,1274,1425,5984,1036,2768
Data Zone S01001899,3176,2169,4073,3983,2665,4103,2043,1519
Data Zone S01001900,3162,3706,3118,3403,3251,1308,1497,2401
Data Zone S01001901,5751,5227,5438,5607,6408,2026,5660,5251
Data Zone S01001902,6502,6446,6335,6260,6347,5044,4646,6174
Data Zone S01001903,1507,973,2408,2217,865,4971,887,1168
Data Zone S01001904,826,1168,1004,190,1840,1255,2590,1872
Data Zone S01001905,6450,5797,6070,6386,6444,4452,4587,5707
Data Zone S01001906,125,303,234,64,115,3381,1350,20
Data Zone S01001907,1358,1462,1595,890,1090,5154,896,1312
Data Zone S01001908,5854,4654,5751,5845,6199,4821,3813,2497
Data Zone S01001909,476,736,365,1621,250,3740,2204,88
Data Zone S01001910,3844,3201,4005,4686,2160,4917,1413,3609
Data Zone S01001911,6435,6322,6290,6477,6482,2690,4713,5917
Data Zone S01001912,3673,3005,4493,3680,3342,4589,791,1103
Data Zone S01001913,4934,5063,5452,5838,2635,1670,4546,5033
Data Zone S01001914,6314,6256,5798,6328,6497,2303,6141,6094
Data Zone S01001915,6194,5988,5870,6123,5754,3010,5205,4286
Data Zone S01001916,6268,5963,5910,5549,5713,5835,1243,4193
Data Zone S01001917,6496,6485,6486,6299,6504,4051,5909,5494
Data Zone S01001918,4496,4105,4399,5458,3362,3295,349,4904
Data Zone S01001919,3829,3323,4647,3266,2899,3712,1105,2663
Data Zone S01001920,3627,3216,3881,3208,4290,2179,1249,3475
Data Zone S01001921,1749,1863,1788,2024,1460,2925,1487,1543
Data Zone S01001922,5601,5574,5609,5690,5910,1448,5595,3811
Data Zone S01001923,2698,3172,4558,2499,635,4327,852,1549
Data Zone S01001924,6243,5877,5632,5921,5767,3846,4519,5293
Data Zone S01001925,6403,6065,5994,6351,6479,4209,6375,3364
Data Zone S01001926,1637,2407,3224,693,593,4239,1197,362
Data Zone S01001927,6307,5840,6313,5363,6420,3142,5695,5348
Data Zone S01001928,3664,4998,2560,2063,4863,5625,877,1677
Data Zone S01001929,6505,6448,6458,6449,6334,4903,6045,5913
Data Zone S01001930,5200,4364,4078,4909,6164,6214,534,5358
Data Zone S01001931,570,509,827,743,304,3287,911,1348
Data Zone S01001932,2182,2786,3584,1428,1472,4268,1614,89
Data Zone S01001933,6361,6184,6089,5789,6146,3221,5736,5313
Data Zone S01001934,3777,3677,3907,2913,3383,4369,1602,1851
Data Zone S01001935,40,97,25,93,71,2280,1432,805
Data Zone S01001936,5845,5124,5779,5345,5773,2901,5057,4804
Data Zone S01001937,2499,2249,2968,2398,3283,3179,2844,480
Data Zone S01001938,6123,5122,5879,4958,6358,5161,2639,5225
Data Zone S01001939,6274,5902,6119,5378,5751,6480,582,4367
Data Zone S01001940,5445,5322,4889,3939,6078,2939,3791,5539
Data Zone S01001941,6427,6271,6283,6219,5969,3724,4166,4797
Data Zone S01001942,6004,4709,5186,6228,6402,6116,1612,5103
Data Zone S01001943,1788,1268,2503,2461,1108,4330,1299,1720
Data Zone S01001944,5476,4604,5652,3615,5855,4242,5072,4138
Data Zone S01001945,6463,5855,6440,6064,6435,4191,5964,5709
Data Zone S01001946,554,667,716,417,348,4350,1111,798
Data Zone S01001947,5850,5329,5007,4777,6177,3940,5222,5698
Data Zone S01001948,143,115,222,498,180,3492,650,191
Data Zone S01001949,1496,1157,2003,1495,894,4603,1262,3226
Data Zone S01001950,3615,3219,3995,3254,2400,5717,612,3093
Data Zone S01001951,2006,1551,1885,1057,4071,4569,2171,3734
Data Zone S01001952,6266,5849,5985,6087,6310,3028,3294,5622
Data Zone S01001953,6452,6355,6365,6242,6194,6091,1617,2699
Data Zone S01001954,2705,2990,2972,3559,2418,3644,2527,165
Data Zone S01001955,1203,938,1488,1170,1397,3025,1096,1595
Data Zone S01001956,908,1348,1134,708,260,3705,1089,2109
Data Zone S01001957,451,277,738,658,291,5905,748,1138
Data Zone S01001958,1811,1558,1804,1549,2038,3351,1737,4293
Data Zone S01001959,2856,3987,3431,2851,3039,713,1666,872
Data Zone S01001960,6217,6150,5967,5784,5938,4238,2850,2666
Data Zone S01001961,5839,5133,5364,6374,5985,3305,1811,4629
Data Zone S01001962,1851,2437,2407,1092,1287,3190,1074,1190
Data Zone S01001963,3826,3897,3962,3259,1982,5771,1564,2997
Data Zone S01001964,5155,5498,5746,5878,4179,1382,743,4341
Data Zone S01001965,1228,845,1687,1759,1546,2738,1729,442
Data Zone S01001966,403,339,656,849,205,4710,675,214
Data Zone S01001967,3667,3008,4536,5056,2250,2535,848,3606
Data Zone S01001968,5688,5011,5643,4796,5128,4292,1741,5477
Data Zone S01001969,2572,2452,2387,2839,1999,3952,1959,3047
Data Zone S01001970,6298,5610,6011,6398,6505,3392,6060,4244
Data Zone S01001971,973,1057,1028,1190,409,3821,1232,3209
Data Zone S01001972,6343,5732,6095,6233,5694,4595,2221,5692
Data Zone S01001973,4643,4528,4510,4630,4504,3320,695,2247
Data Zone S01001974,6482,6283,6389,6244,6394,5746,2340,4030
Data Zone S01001975,6291,5590,6217,5663,6461,5149,3008,3101
Data Zone S01001976,4931,4063,4418,5343,4070,4851,1216,5335
Data Zone S01001977,1767,1953,1780,1397,1901,3571,1406,1351
Data Zone S01001978,390,421,565,226,495,3615,1506,491
Data Zone S01001979,6432,5566,6342,6063,6255,6309,2130,4461
Data Zone S01001980,5978,4973,5760,6280,5783,5396,1100,3552
Data Zone S01001981,6195,5744,5480,6214,5875,5332,1307,4455
Data Zone S01001982,204,179,75,3372,91,4943,395,2292
Data Zone S01001983,6251,5648,6024,6480,5886,5101,751,4212
Data Zone S01001984,2417,1930,2583,3004,1649,4939,905,4200
Data Zone S01001985,3559,2592,4141,4650,2862,4620,1325,1695
Data Zone S01001986,6317,6304,6326,6249,4424,5874,817,4598
Data Zone S01001987,6479,6349,6473,6428,6379,5714,804,4564
Data Zone S01001988,3672,2707,3869,3035,4406,4122,1919,3190
Data Zone S01001989,5957,5423,5623,5859,5512,2685,4695,6291
Data Zone S01001990,6484,6417,6476,6454,6046,5206,1756,5119
Data Zone S01001991,3585,2721,4034,3303,3943,3887,1233,2444
Data Zone S01001992,5890,5454,4937,6169,5597,5023,2160,3726
Data Zone S01001993,6483,6352,6263,6210,6463,5077,4901,4098
Data Zone S01001994,6170,5240,5830,6020,6102,5424,1366,4383
Data Zone S01001995,5669,5585,6134,6289,4890,1514,1610,5974
Data Zone S01001996,6451,6161,6298,6485,5731,6504,834,4322
Data Zone S01001997,3088,2840,2957,3351,2914,4752,1324,1407
Data Zone S01001998,3966,2922,4343,5174,4224,2018,2839,2918
Data Zone S01001999,6466,6143,6420,6496,5499,6127,1101,5741
Data Zone S01002000,2790,2945,2774,2581,1918,4638,1593,2119
Data Zone S01002001,4105,3712,3755,5820,2625,5629,22,5441
Data Zone S01002002,6481,6460,6483,6505,6382,5705,482,5155
Data Zone S01002003,3697,3555,3745,3882,3770,1331,3741,4056
Data Zone S01002004,5161,4521,4715,6136,4922,4927,341,3104
Data Zone S01002005,1893,1955,1496,2327,2466,2530,1786,2063
Data Zone S01002006,3674,2887,4219,4949,2167,3394,4377,2605
Data Zone S01002007,4772,4793,4502,5328,3172,5715,25,4013
Data Zone S01002008,6440,6137,6142,6346,6103,6360,1053,3984
Data Zone S01002009,6459,6099,6235,6411,6233,5892,1135,5051
Data Zone S01002010,6350,6074,6316,6498,5495,4074,2367,4203
Data Zone S01002011,5692,5487,6208,5822,5333,1240,5419,5753
Data Zone S01002012,6077,5163,6201,6268,4977,5709,777,4416
Data Zone S01002013,6246,5419,6055,6388,6389,5327,1697,2783
Data Zone S01002014,6299,6077,6136,5611,5967,5947,681,3816
Data Zone S01002015,6276,6004,5867,6140,4989,4356,4764,4768
Data Zone S01002016,6108,5592,5986,6488,4698,5563,661,4478
Data Zone S01002017,45,147,48,53,32,2917,837,945
Data Zone S01002018,5027,4183,4249,5134,5015,3941,4168,4695
Data Zone S01002019,6469,6381,6464,6494,6261,5026,736,5438
Data Zone S01002020,6215,6252,6295,6497,4408,6223,55,5181
Data Zone S01002021,2230,2177,2456,1972,2171,2067,1701,3721
Data Zone S01002022,3193,3846,4108,3602,3574,693,1842,863
Data Zone S01002023,6368,5952,6225,6383,6107,6453,1055,2583
Data Zone S01002024,6209,5146,5502,5968,6321,6023,1433,6056
Data Zone S01002025,4065,4509,4365,3792,2176,4936,50,4170
Data Zone S01002026,6135,5459,6025,5592,6247,3900,3770,3611
Data Zone S01002027,5847,5361,5911,6038,4913,6156,352,2586
Data Zone S01002028,6256,6415,6492,6481,4307,5482,234,4421
Data Zone S01002029,6415,6156,6447,6501,5507,5360,431,5890
Data Zone S01002030,4806,4464,4238,5790,3972,5843,32,3950
Data Zone S01002031,2388,2289,2594,5499,873,5422,210,1737
Data Zone S01002032,5714,4245,5367,5934,6053,5646,919,5432
Data Zone S01002033,2564,3209,2582,4432,841,6187,40,1758
Data Zone S01002034,6015,5626,5959,6275,4492,5395,296,5467
Data Zone S01002035,4998,4527,5019,5200,5392,1480,2657,5576
Data Zone S01002036,3651,3634,3659,4574,1990,6144,14,3696
Data Zone S01002037,5572,5356,5889,6438,2851,5689,369,4457
Data Zone S01002038,6337,6049,6443,6491,5841,5293,486,3432
Data Zone S01002039,4505,4403,3826,5428,5066,2255,2302,2381
Data Zone S01002040,4620,4491,4953,3833,2993,6013,150,3894
Data Zone S01002041,5176,4660,4762,3798,5496,5941,809,3865
Data Zone S01002042,4209,3382,4122,3511,5022,5799,2615,1362
Data Zone S01002043,4962,4279,4757,4402,4084,4009,3841,4646
Data Zone S01002044,363,213,503,987,317,3646,607,968
Data Zone S01002045,4072,3200,4344,2980,4123,4397,4776,2851
Data Zone S01002046,1904,2204,1691,2968,1934,5933,42,339
Data Zone S01002047,5120,3774,5597,3665,5548,5973,779,4205
Data Zone S01002048,5985,5368,6268,6167,5378,6313,358,2108
Data Zone S01002049,5166,4594,4866,5195,4511,6175,220,3769
Data Zone S01002050,4370,4376,3550,4776,4046,2932,5316,2734
Data Zone S01002051,1353,1398,1502,1174,1487,3766,480,1008
Data Zone S01002052,3687,3482,3519,3238,3475,6044,28,3720
Data Zone S01002053,6290,5873,6145,6470,5366,6143,443,4285
Data Zone S01002054,5681,5029,5169,6404,4825,4517,944,5164
Data Zone S01002055,5443,5215,5848,6239,4487,1279,6120,5193
Data Zone S01002056,3993,3236,3937,2737,4551,3675,3488,4820
Data Zone S01002057,5956,5548,5350,5309,5958,4643,5207,2785
Data Zone S01002058,2562,3026,2398,4237,1213,4982,12,2542
Data Zone S01002059,2868,3223,2942,3659,1714,6093,101,1000
Data Zone S01002060,5268,5244,5680,5207,3179,6119,244,2889
Data Zone S01002061,4335,3650,3996,5819,3673,6402,249,1935
