GeographyCode,GR-denominatorindP,GR-Percchild,GR-Percpens,GR-Percwork
S01001790,762,17.72,15.09,67.19
S01001791,748,21.39,9.76,68.85
S01001792,736,22.55,16.58,60.87
S01001793,851,23.74,16.1,60.16
S01001794,924,20.67,18.4,60.93
S01001795,875,15.89,7.66,76.46
S01001796,813,17.34,24.72,57.93
S01001797,701,18.12,29.1,52.78
S01001798,909,18.59,16.5,64.91
S01001799,1022,37.48,8.81,53.72
S01001800,999,27.43,6.31,66.27
S01001801,954,23.79,16.67,59.54
S01001802,819,21.86,4.15,73.99
S01001803,1003,19.54,6.68,73.78
S01001804,1076,19.98,13.01,67.01
S01001805,784,19.64,22.58,57.78
S01001806,657,17.66,24.35,57.99
S01001807,844,15.76,32.23,52.01
S01001808,633,19.59,20.85,59.56
S01001809,819,26.13,15.02,58.85
S01001810,947,19.43,15.21,65.36
S01001811,716,18.99,20.67,60.34
S01001812,566,25.62,19.79,54.59
S01001813,715,20.28,16.64,63.08
S01001814,753,28.15,5.58,66.27
S01001815,879,19.45,20.71,59.84
S01001816,1076,23.05,15.99,60.97
S01001817,694,19.74,23.2,57.06
S01001818,767,15.91,31.81,52.28
S01001819,1032,20.74,21.03,58.24
S01001820,800,21.25,24.12,54.62
S01001821,524,32.63,7.82,59.54
S01001822,1014,15.78,19.63,64.6
S01001823,1055,20.47,23.98,55.55
S01001824,780,17.31,28.21,54.49
S01001825,815,21.96,8.47,69.57
S01001826,958,26.51,19.1,54.38
S01001827,1057,21.76,16.65,61.59
S01001828,791,31.98,2.91,65.11
S01001829,705,16.6,27.94,55.46
S01001830,936,24.47,13.78,61.75
S01001831,765,15.82,30.07,54.12
S01001832,677,17.87,24.08,58.05
S01001833,969,21.47,14.96,63.57
S01001834,576,13.54,26.39,60.07
S01001835,645,23.1,11.47,65.43
S01001836,740,18.51,20.41,61.08
S01001837,938,23.77,19.3,56.93
S01001838,583,21.1,22.64,56.26
S01001839,956,20.08,27.2,52.72
S01001840,736,19.43,22.42,58.15
S01001841,740,25.81,13.51,60.68
S01001842,814,23.1,11.79,65.11
S01001843,755,20.13,20.13,59.74
S01001844,2647,8.5,8.27,83.23
S01001845,848,29.83,8.25,61.91
S01001846,943,25.98,12.62,61.4
S01001847,823,16.28,29.77,53.95
S01001848,788,18.91,28.55,52.54
S01001849,631,16.8,23.45,59.75
S01001850,784,22.58,15.94,61.48
S01001851,786,19.72,14.38,65.9
S01001852,808,16.09,15.22,68.69
S01001853,776,16.37,26.8,56.83
S01001854,1295,17.22,21.47,61.31
S01001855,758,27.04,10.55,62.4
S01001856,642,16.36,33.49,50.16
S01001857,806,18.49,22.21,59.31
S01001858,890,17.64,31.01,51.35
S01001859,966,21.12,16.46,62.42
S01001860,1074,28.4,17.13,54.47
S01001861,1004,19.62,20.62,59.76
S01001862,909,19.25,9.79,70.96
S01001863,916,17.79,9.83,72.38
S01001864,894,24.27,11.19,64.54
S01001865,707,36.21,5.52,58.27
S01001866,704,18.18,20.6,61.22
S01001867,548,25.36,16.97,57.66
S01001868,673,14.26,25.41,60.33
S01001869,845,15.62,20.47,63.91
S01001870,733,23.6,18.28,58.12
S01001871,864,20.37,24.54,55.09
S01001872,809,15.57,25.09,59.33
S01001873,809,19.28,27.69,53.03
S01001874,720,36.39,5,58.61
S01001875,880,19.32,21.14,59.55
S01001876,1055,18.67,24.36,56.97
S01001877,986,34.38,5.98,59.63
S01001878,1065,16.53,25.54,57.93
S01001879,676,26.48,9.62,63.91
S01001880,745,24.83,9.4,65.77
S01001881,674,17.95,21.36,60.68
S01001882,771,25.16,10.25,64.59
S01001883,569,21.27,12.13,66.61
S01001884,998,17.03,29.86,53.11
S01001885,1098,18.85,29.69,51.46
S01001886,601,18.14,19.47,62.4
S01001887,887,20.97,15.78,63.25
S01001888,907,21.28,19.63,59.1
S01001889,577,19.24,17.16,63.6
S01001890,927,20.5,12.19,67.31
S01001891,665,21.5,31.28,47.22
S01001892,769,18.34,10.4,71.26
S01001893,973,19.12,19.53,61.36
S01001894,739,30.85,7.44,61.71
S01001895,756,20.37,24.07,55.56
S01001896,844,25.47,16.35,58.18
S01001897,884,26.13,8.82,65.05
S01001898,649,13.56,28.51,57.94
S01001899,796,18.22,13.57,68.22
S01001900,833,17.65,22.81,59.54
S01001901,982,21.49,26.37,52.14
S01001902,902,19.62,16.19,64.19
S01001903,588,19.73,15.65,64.63
S01001904,637,15.86,28.89,55.26
S01001905,920,22.07,13.7,64.24
S01001906,911,16.36,21.19,62.46
S01001907,794,17.88,29.09,53.02
S01001908,884,15.84,15.84,68.33
S01001909,669,21.97,14.65,63.38
S01001910,766,21.93,12.66,65.4
S01001911,760,24.08,13.82,62.11
S01001912,793,20.3,16.52,63.18
S01001913,983,24.01,10.89,65.11
S01001914,603,19.9,22.72,57.38
S01001915,849,18.49,24.62,56.89
S01001916,815,10.18,19.26,70.55
S01001917,724,23.07,23.76,53.18
S01001918,866,6.24,15.36,78.41
S01001919,908,17.51,18.61,63.88
S01001920,720,15.83,35,49.17
S01001921,602,12.62,34.55,52.82
S01001922,782,22.12,8.95,68.93
S01001923,774,20.41,11.5,68.09
S01001924,729,17.42,22.63,59.95
S01001925,807,20.45,19.7,59.85
S01001926,787,20.2,14.87,64.93
S01001927,913,13.58,33.95,52.46
S01001928,1097,5.93,24.61,69.46
S01001929,754,15.92,26.53,57.56
S01001930,772,9.07,12.05,78.89
S01001931,754,27.59,15.12,57.29
S01001932,1338,16.07,11.73,72.2
S01001933,918,18.85,21.13,60.02
S01001934,793,13.37,30.9,55.74
S01001935,720,28.47,7.78,63.75
S01001936,999,14.51,32.73,52.75
S01001937,900,15.33,24.78,59.89
S01001938,595,10.59,19.33,70.08
S01001939,586,8.19,16.55,75.26
S01001940,740,16.49,15.68,67.84
S01001941,947,16.9,14.99,68.11
S01001942,562,10.5,24.2,65.3
S01001943,621,21.9,17.55,60.55
S01001944,765,10.72,46.67,42.61
S01001945,729,16.46,29.08,54.46
S01001946,838,31.15,8,60.86
S01001947,843,13.88,31.2,54.92
S01001948,766,32.51,8.36,59.14
S01001949,724,24.59,16.71,58.7
S01001950,907,10.36,21.72,67.92
S01001951,833,10.68,36.49,52.82
S01001952,764,18.32,13.48,68.19
S01001953,795,14.09,18.99,66.92
S01001954,499,12.42,22.24,65.33
S01001955,800,19.62,27.62,52.75
S01001956,789,28.26,11.03,60.71
S01001957,796,20.35,15.33,64.32
S01001958,876,12.44,29.68,57.88
S01001959,624,17.47,24.04,58.49
S01001960,879,18.2,12.17,69.62
S01001961,955,13.72,11.1,75.18
S01001962,833,18.73,15.37,65.91
S01001963,766,12.66,21.28,66.06
S01001964,778,18.38,7.07,74.55
S01001965,830,14.7,34.94,50.36
S01001966,773,24.58,12.94,62.48
S01001967,675,21.33,2.37,76.3
S01001968,836,8.61,34.45,56.94
S01001969,648,14.2,21.45,64.35
S01001970,614,14.01,35.02,50.98
S01001971,774,14.86,34.11,51.03
S01001972,765,19.74,9.54,70.72
S01001973,704,20.45,14.2,65.34
S01001974,797,13.05,13.05,73.9
S01001975,845,13.02,28.64,58.34
S01001976,753,10.36,17.53,72.11
S01001977,783,12.77,37.55,49.68
S01001978,795,25.53,18.99,55.47
S01001979,703,10.81,23.9,65.29
S01001980,685,11.24,9.34,79.42
S01001981,800,9.75,13.38,76.88
S01001982,529,19.66,15.5,64.84
S01001983,765,13.07,11.24,75.69
S01001984,531,19.21,6.4,74.39
S01001985,777,22.39,17.89,59.72
S01001986,622,3.54,4.02,92.44
S01001987,825,7.03,7.15,85.82
S01001988,794,19.14,16.62,64.23
S01001989,879,15.02,26.73,58.25
S01001990,999,8.81,11.71,79.48
S01001991,792,25,9.97,65.03
S01001992,916,17.9,22.05,60.04
S01001993,761,19.05,12.09,68.86
S01001994,845,11.01,7.46,81.54
S01001995,687,21.83,6.11,72.05
S01001996,930,6.45,7.1,86.45
S01001997,744,11.56,24.46,63.98
S01001998,716,25.84,9.08,65.08
S01001999,748,6.02,4.81,89.17
S01002000,762,19.16,15.75,65.09
S01002001,766,5.22,7.83,86.95
S01002002,738,8.13,2.85,89.02
S01002003,827,21.16,14.63,64.21
S01002004,799,8.26,12.39,79.35
S01002005,796,12.44,34.8,52.76
S01002006,938,25.8,4.69,69.51
S01002007,934,3.53,6.42,90.04
S01002008,863,10.43,8.81,80.76
S01002009,799,7.01,12.52,80.48
S01002010,514,6.81,9.14,84.05
S01002011,1088,26.65,4.6,68.75
S01002012,778,9.13,10.28,80.59
S01002013,796,13.94,17.71,68.34
S01002014,814,7.62,13.14,79.24
S01002015,929,19.16,23.47,57.37
S01002016,550,5.82,6.55,87.64
S01002017,1135,21.94,25.73,52.33
S01002018,832,15.38,28.49,56.13
S01002019,788,6.47,6.09,87.44
S01002020,502,2.79,2.39,94.82
S01002021,965,13.78,35.75,50.47
S01002022,765,21.18,17.12,61.7
S01002023,760,9.87,5,85.13
S01002024,745,12.08,7.11,80.81
S01002025,828,3.5,8.57,87.92
S01002026,738,15.04,30.62,54.34
S01002027,1047,5.44,5.54,89.02
S01002028,2692,2.41,3.01,94.58
S01002029,756,5.82,6.08,88.1
S01002030,771,8.43,6.87,84.7
S01002031,659,10.02,19.88,70.11
S01002032,762,9.19,12.47,78.35
S01002033,753,6.37,9.69,83.93
S01002034,972,7,5.76,87.24
S01002035,772,20.85,17.23,61.92
S01002036,825,5.58,8,86.42
S01002037,680,4.26,8.82,86.91
S01002038,738,7.99,4.2,87.8
S01002039,638,19.75,21.79,58.46
S01002040,532,9.77,12.97,77.26
S01002041,929,9.58,10.87,79.55
S01002042,934,11.67,40.79,47.54
S01002043,784,17.47,27.42,55.1
S01002044,703,28.73,13.94,57.33
S01002045,871,13.09,30.42,56.49
S01002046,573,5.76,6.98,87.26
S01002047,761,7.1,29.04,63.86
S01002048,866,5.08,6,88.91
S01002049,1096,5.93,8.39,85.68
S01002050,710,17.46,27.89,54.65
S01002051,818,16.01,30.44,53.55
S01002052,752,5.05,8.24,86.7
S01002053,760,6.18,6.45,87.37
S01002054,756,7.28,5.82,86.9
S01002055,902,21.18,10.2,68.63
S01002056,942,12.95,33.01,54.03
S01002057,858,15.85,23.89,60.26
S01002058,668,5.99,10.48,83.53
S01002059,711,11.25,9.85,78.9
S01002060,742,5.39,8.36,86.25
S01002061,663,5.88,8.6,85.52
S01002062,625,17.12,27.84,55.04
S01002063,984,3.66,6.4,89.94
S01002064,871,14.12,4.71,81.17
S01002065,764,11.78,9.03,79.19
S01002066,703,7.82,8.39,83.78
S01002067,809,10.14,29.79,60.07
S01002068,896,4.91,6.81,88.28
S01002069,600,18.17,27,54.83
S01002070,662,7.4,10.73,81.87
S01002071,675,4,12.44,83.56
S01002072,1099,16.74,25.3,57.96
S01002073,634,7.1,12.62,80.28
S01002074,660,16.82,28.03,55.15
S01002075,876,7.99,17.92,74.09
S01002076,838,4.65,11.69,83.65
S01002077,839,15.49,24.31,60.19
S01002078,945,14.07,22.75,63.17
S01002079,751,6.66,13.98,79.36
S01002080,979,18.79,22.88,58.32
S01002081,697,11.33,8.61,80.06
S01002082,835,8.38,18.2,73.41
S01002083,544,11.4,44.49,44.12
S01002084,554,10.11,11.19,78.7
S01002085,775,4.39,1.55,94.06
S01002086,547,5.3,6.22,88.48
S01002087,1043,7,18.5,74.5
S01002088,908,19.71,27.31,52.97
S01002089,991,17.56,22.91,59.54
S01002090,1076,15.71,28.9,55.39
S01002091,796,7.66,5.4,86.93
S01002092,1004,16.93,32.67,50.4
S01002093,767,8.21,10.3,81.49
S01002094,742,15.36,26.15,58.49
S01002095,572,13.11,33.22,53.67
S01002096,832,24.04,20.91,55.05
S01002097,801,16.98,29.46,53.56
S01002098,707,16.97,31.4,51.63
S01002099,851,9.75,10.22,80.02
S01002100,596,16.95,19.46,63.59
S01002101,900,16,15.78,68.22
S01002102,655,19.85,23.51,56.64
S01002103,744,18.95,16.4,64.65
S01002104,1128,10.99,10.9,78.1
S01002105,1021,23.6,15.57,60.82
S01002106,965,1.87,8.7,89.43
S01002107,546,18.32,17.95,63.74
S01002108,1069,4.4,3.27,92.33
S01002109,866,4.39,4.97,90.65
S01002110,687,19.21,18.92,61.86
S01002111,1023,15.15,27.86,56.99
S01002112,1044,22.61,16.28,61.11
S01002113,762,16.67,32.15,51.18
S01002114,715,21.4,15.8,62.8
S01002115,1055,12.32,12.32,75.36
S01002116,860,20.7,21.86,57.44
S01002117,631,4.75,11.73,83.52
S01002118,960,4.38,11.77,83.85
S01002119,602,20.6,30.9,48.5
S01002120,762,22.18,11.15,66.67
S01002121,705,20.28,23.69,56.03
S01002122,986,19.57,35.8,44.62
S01002123,1268,15.38,17.98,66.64
S01002124,763,18.61,20.05,61.34
S01002125,1093,16.56,24.34,59.1
S01002126,669,22.27,20.03,57.7
S01002127,728,20.33,17.99,61.68
S01002128,788,4.44,6.22,89.34
S01002129,835,4.55,21.08,74.37
S01002130,656,23.48,14.33,62.2
S01002131,709,6.21,11.42,82.37
S01002132,790,17.22,26.2,56.58
S01002133,1096,7.66,20.71,71.62
S01002134,618,18.61,26.38,55.02
S01002135,863,23.17,22.02,54.81
S01002136,705,10.78,16.17,73.05
S01002137,885,18.42,15.59,65.99
S01002138,628,10.83,29.14,60.03
S01002139,703,21.19,15.79,63.02
S01002140,906,19.76,21.08,59.16
S01002141,688,22.24,11.34,66.42
S01002142,1050,17.9,25.52,56.57
S01002143,763,14.42,30.01,55.57
S01002144,721,17.34,34.81,47.85
S01002145,976,10.55,16.6,72.85
S01002146,913,10.51,11.94,77.55
S01002147,965,18.03,29.84,52.12
S01002148,864,21.3,24.07,54.63
S01002149,1022,18.2,19.57,62.23
S01002150,689,17.42,12.63,69.96
S01002151,1106,7.05,14.92,78.03
S01002152,821,15.96,19.85,64.19
S01002153,540,15.19,23.7,61.11
S01002154,895,16.54,27.82,55.64
S01002155,1012,23.22,16.8,59.98
S01002156,759,5.53,11.59,82.87
S01002157,816,16.18,19,64.83
S01002158,771,9.21,18.68,72.11
S01002159,754,11.94,17.24,70.82
S01002160,791,11.5,14.79,73.7
S01002161,710,3.52,7.18,89.3
S01002162,1018,22.1,14.73,63.16
S01002163,1003,7.98,11.57,80.46
S01002164,854,22.37,20.02,57.61
S01002165,957,22.26,9.82,67.92
S01002166,804,10.2,11.07,78.73
S01002167,660,16.52,28.03,55.45
S01002168,1005,7.06,19.9,73.03
S01002169,783,9.2,23.5,67.31
S01002170,871,11.48,43.05,45.46
S01002171,624,16.19,24.52,59.29
S01002172,736,17.26,26.22,56.52
S01002173,953,12.7,31.37,55.93
S01002174,913,9.31,15.33,75.36
S01002175,973,9.97,11.31,78.73
S01002176,800,15.75,20.75,63.5
S01002177,790,9.49,13.16,77.34
S01002178,916,6.22,14.41,79.37
S01002179,692,16.18,25,58.82
S01002180,504,6.94,6.94,86.11
S01002181,762,12.34,18.11,69.55
S01002182,799,10.51,10.01,79.47
S01002183,842,9.14,15.91,74.94
S01002184,792,16.54,25.13,58.33
S01002185,802,16.83,19.2,63.97
S01002186,737,8.01,9.63,82.36
S01002187,903,9.08,8.53,82.39
S01002188,783,17.37,25.42,57.22
S01002189,793,8.58,15.38,76.04
S01002190,780,11.67,11.67,76.67
S01002191,919,17.08,31.12,51.8
S01002192,866,19.52,31.99,48.5
S01002193,916,23.47,21.72,54.8
S01002194,806,21.34,26.43,52.23
S01002195,964,5.5,24.17,70.33
S01002196,667,21.14,18.14,60.72
S01002197,566,10.25,7.42,82.33
S01002198,852,9.27,12.79,77.93
S01002199,816,8.33,9.19,82.48
S01002200,795,19.37,24.4,56.23
S01002201,888,7.88,8.11,84.01
S01002202,688,9.74,4.8,85.47
S01002203,528,13.45,8.33,78.22
S01002204,711,13.22,26.58,60.2
S01002205,767,6.91,13.69,79.4
S01002206,546,9.52,11.72,78.75
S01002207,844,18.25,18.25,63.51
S01002208,557,8.8,6.28,84.92
S01002209,916,8.62,8.19,83.19
S01002210,610,10.33,16.23,73.44
S01002211,621,13.53,28.18,58.29
S01002212,1012,17.19,23.22,59.58
S01002213,829,27.86,10.01,62.12
S01002214,768,10.42,11.2,78.39
S01002215,995,15.98,32.36,51.66
S01002216,774,7.62,14.6,77.78
S01002217,914,3.17,21.77,75.05
S01002218,556,10.25,8.09,81.65
S01002219,672,15.92,27.83,56.25
S01002220,792,20.45,18.31,61.24
S01002221,767,9.52,14.08,76.4
S01002222,836,20.1,25.48,54.43
S01002223,719,19.19,26.98,53.82
S01002224,746,19.57,30.43,50
S01002225,721,10.96,11.65,77.39
S01002226,1037,11.76,15.04,73.19
S01002227,835,16.65,31.14,52.22
S01002228,978,16.36,26.48,57.16
S01002229,785,21.27,32.61,46.11
S01002230,1024,10.55,15.62,73.83
S01002231,1136,23.77,16.2,60.04
S01002232,770,17.66,31.17,51.17
S01002233,931,10.31,11.92,77.77
S01002234,783,7.02,20.05,72.92
S01002235,968,9.09,15.91,75
S01002236,907,19.51,21.83,58.65
S01002237,1103,19.4,15.68,64.91
S01002238,567,12.87,33.69,53.44
S01002239,939,29.07,13.95,56.98
S01002240,748,14.57,14.57,70.86
S01002241,890,18.76,21.24,60
S01002242,788,17.77,23.6,58.63
S01002243,767,16.82,10.43,72.75
S01002244,724,10.64,12.85,76.52
S01002245,949,12.01,10.43,77.56
S01002246,895,8.16,15.98,75.87
S01002247,921,23.67,22.8,53.53
S01002248,1169,15.4,27.72,56.89
S01002249,784,12.76,27.55,59.69
S01002250,973,18.71,12.74,68.55
S01002251,826,23.73,11.26,65.01
S01002252,607,14.5,28.83,56.67
S01002253,1005,14.73,29.55,55.72
S01002254,788,8.63,11.17,80.2
S01002255,1039,9.24,16.75,74.01
S01002256,768,9.64,18.23,72.14
S01002257,713,23.14,14.17,62.69
S01002258,777,14.67,16.99,68.34
S01002259,537,18.25,23.65,58.1
S01002260,853,19.34,20.52,60.14
S01002261,1022,16.34,21.62,62.04
S01002262,789,15.84,28.64,55.51
S01002263,794,14.36,31.36,54.28
S01002264,867,19.95,14.19,65.86
S01002265,1038,29.19,18.5,52.31
S01002266,645,12.71,16.59,70.7
S01002267,972,20.47,11.42,68.11
S01002268,715,21.68,28.67,49.65
S01002269,910,13.52,25.82,60.66
S01002270,914,13.57,11.49,74.95
S01002271,853,17.58,21.81,60.61
S01002272,560,21.96,11.61,66.43
S01002273,792,12.63,14.9,72.47
S01002274,779,12.84,18.23,68.93
S01002275,955,26.28,9.63,64.08
S01002276,813,21.16,18.94,59.9
S01002277,781,22.79,13.83,63.38
S01002278,1064,26.6,9.02,64.38
S01002279,961,25.81,10.3,63.89
S01002280,797,21.08,18.82,60.1
S01002281,768,32.94,12.24,54.82
S01002282,967,26.68,11.69,61.63
S01002283,744,20.3,22.72,56.99
S01002284,1023,22.68,19.45,57.87
S01002285,782,14.19,21.61,64.19
S01002286,783,12.64,20.95,66.41
S01002287,772,19.17,20.85,59.97
S01002288,749,12.95,5.87,81.17
S01002289,799,10.14,31.66,58.2
S01002290,795,14.97,11.82,73.21
S01002291,838,20.53,12.29,67.18
S01002292,810,11.98,14.57,73.46
S01002293,874,22.54,11.44,66.02
S01002294,632,14.87,28.01,57.12
S01002295,758,20.58,19.79,59.63
S01002296,738,26.56,13.82,59.62
S01002297,929,17.44,28.96,53.61
S01002298,744,25.13,11.56,63.31
S01002299,841,22.12,22.95,54.93
S01002300,792,18.06,24.49,57.45
S01002301,860,23.14,6.05,70.81
S01002302,932,30.9,10.73,58.37
S01002303,832,18.99,17.79,63.22
S01002304,798,9.9,4.64,85.46
S01002305,834,14.03,11.99,73.98
S01002306,775,26.45,10.45,63.1
S01002307,692,4.48,5.35,90.17
S01002308,911,15.81,19.54,64.65
S01002309,741,18.62,23.48,57.89
S01002310,848,11.44,17.92,70.64
S01002311,782,16.11,19.44,64.45
S01002312,653,22.36,13.32,64.32
S01002313,737,23.34,12.48,64.18
S01002314,831,13.6,24.19,62.21
S01002315,558,19.53,23.48,56.99
S01002316,751,22.1,20.91,56.99
S01002317,879,10.01,13.31,76.68
S01002318,845,17.99,10.77,71.24
S01002319,1105,17.1,28.51,54.39
S01002320,638,16.77,22.1,61.13
S01002321,892,24.1,10.65,65.25
S01002322,689,16.11,14.22,69.67
S01002323,785,16.56,24.97,58.47
S01002324,761,19.97,17.87,62.16
S01002325,577,11.09,33.62,55.29
S01002326,827,13.54,18.5,67.96
S01002327,800,21.38,18.25,60.38
S01002328,765,18.82,10.85,70.33
S01002329,708,21.75,10.73,67.51
S01002330,798,21.8,18.92,59.27
S01002331,709,18.48,23.98,57.55
S01002332,958,29.44,3.86,66.7
S01002333,834,23.98,5.88,70.14
S01002334,827,22.01,15.36,62.64
S01002335,983,17.29,18.82,63.89
S01002336,1019,25.91,5.89,68.2
S01002337,977,23.64,7.98,68.37
S01002338,579,22.63,21.24,56.13